Rank,Título,Ano,Nota,Duração,Diretor
85,3 Idiotas,2009,"8,4",2h 50m,Rajkumar Hirani
86,Coringa,2019,"8,3",2h 2m,Todd Phillips
87,Era uma Vez na América,1984,"8,3",3h 49m,Sergio Leone
88,Cafarnaum,2018,"8,4",2h 6m,Nadine Labaki
89,Cantando na Chuva,1952,"8,3",1h 43m,"Stanley Donen, Gene Kelly"
90,Hababam Sinifi Sinifta Kaldi,1975,"8,7",1h 35m,Ertem Egilmez
91,Vá e Veja,1985,"8,3",2h 22m,Elem Klimov
92,Réquiem para um Sonho,2000,"8,3",1h 42m,Darren Aronofsky
93,Star Wars: Episódio VI - O Retorno de Jedi,1983,"8,3",2h 11m,Richard Marquand
94,Toy Story 3,2010,"8,3",1h 43m,Lee Unkrich
95,A Caça,2012,"8,3",1h 55m,Thomas Vinterberg
96,Viver,1952,"8,3",2h 23m,Akira Kurosawa
97,Brilho Eterno de uma Mente sem Lembranças,2004,"8,3",1h 48m,Michel Gondry
98,2001: Uma Odisséia no Espaço,1968,"8,3",2h 29m,Stanley Kubrick
99,Cães de Aluguel,1992,"8,3",1h 39m,Quentin Tarantino
100,Se Meu Apartamento Falasse,1960,"8,3",2h 5m,Billy Wilder
101,Incêndios,2010,"8,3",2h 11m,Denis Villeneuve
102,Lawrence da Arábia,1962,"8,3",3h 47m,David Lean
103,Scarface,1983,"8,3",2h 50m,Brian De Palma
104,Pacto de Sangue,1944,"8,3",1h 47m,Billy Wilder
105,Fogo Contra Fogo,1995,"8,3",2h 50m,Michael Mann
106,Intriga Internacional,1959,"8,3",2h 16m,Alfred Hitchcock
107,Up - Altas Aventuras,2009,"8,3",1h 36m,"Pete Docter, Bob Peterson"
108,Cidadão Kane,1941,"8,3",1h 59m,Orson Welles
109,"M, o Vampiro de Dusseldorf",1931,"8,3",1h 57m,Fritz Lang
110,Nascido para Matar,1987,"8,2",1h 56m,Stanley Kubrick
111,Um Corpo que Cai,1958,"8,2",2h 8m,Alfred Hitchcock
